phosphate [mM],NO3- [mM],NH4+ [mM],Sucrose [mM],start wet mass [g/L],wet mass increase [g/(hL)],wet mass [g/L],batch
2.59,40.6,19.17,72.87,20.98,0.5046685606060606,35.3,0
1.97,39.41,20.36,68.97,21.0,0.6046085858585858,91.78,0
2.46,39.84,19.95,69.35,18.28,0.8191215676883781,107.5,0
2.4,40.58,19.68,79.69,10.4,0.9057217709399582,73.0,0
2.54,39.59,19.64,70.49,20.28,1.055479986584863,111.3,0
2.6,36.35,19.88,73.23,17.6,0.7470075693439587,51.1,0
2.48,38.18,18.25,74.65,21.9,2.333641187159254,270.8,0
2.5,38.02,19.98,65.64,13.5,1.7936062724639712,181.7,0
2.11,38.82,18.59,60.35,16.9,1.963173636878358,207.9,0
2.49,38.23,20.53,42.67,16.7,1.6499226226993835,172.2,0
1.97,39.96,10.56,20.0,13.0,0.5822401616609423,78.55,1
2.12,80.51,59.26,20.0,13.0,0.3268352295292885,36.36,1
13.13,115.04,5.0,127.61,22.0,0.178888244481463,4.13,1
3.72,6.44,24.24,20.0,17.0,0.6292570840178062,81.41,1
1.97,18.37,38.96,82.61,14.83,-0.02,11.67,2
5.63,29.19,19.2,44.29,12.85,0.7,127.33,2
1.97,78.44,5.0,80.76,16.68,0.11,34.7,2
3.62,14.84,41.52,89.51,22.0,-0.1,6.65,2
1.97,49.28,14.16,39.3,19.69,0.7156,140.54,3
3.69,43.8,12.13,55.46,15.69,0.908,170.6,3
1.97,24.65,5.0,41.23,22.0,0.78356,151.6,3
2.78,34.18,5.0,54.76,18.42,1.1715,212.18,3
1.97,29.17,17.8,52.44,11.17,0.5598,104.23,4
1.97,43.27,10.26,49.24,15.48,0.9623,175.7,4
3.11,56.06,19.92,49.49,14.96,0.9271,169.33,4
4.64,31.08,6.6,55.59,13.0,0.8047,146.98,4
2.72,39.41,20.61,87.64,20.0,1.67,297.32,5
2.72,39.41,20.61,87.64,15.0,1.39,244.75,5
2.78,34.18,5.0,54.76,18.42,1.16,209.95,5
2.78,34.18,5.0,54.76,13.82,1.07,190.27,5
2.78,34.18,5.0,54.76,18.42,0.81381,66.57,6
2.78,34.18,5.0,54.76,18.42,0.8239,67.4,6
2.78,34.18,5.0,54.76,18.42,0.779,63.78,6
2.78,34.18,5.0,54.76,18.42,0.79,64.65,6
